tr,id,mel_lte_uorf,mel_lte_SE_uorf,sim_lte_uorf,sim_lte_SE_uorf,log2Beta_uorf,SE_log2Beta_uorf,p_log2Beta_uorf,adj_P_log2Beta_uorf,mel_lte_cds,mel_lte_SE_cds,sim_lte_cds,sim_lte_SE_cds,log2Beta_cds,SE_log2Beta_cds,p_log2Beta_cds,adj_P_log2Beta_cds,log2Gamma,SE_log2Gamma,p_log2Gamma,adj_P_log2Gamma
FBtr0006151,FBtr0006151_1039,-2.28342746542936,0.318980007397318,-10.18154556454,1.63015075525715,-7.89811809911069,1.66106584155615,1.98594295654138e-06,3.17043155193017e-05,1.49233869005123,1.07619424683617,1.36257257451841,0.683970568382473,-0.129766115532824,1.27515089120336,0.918942967620278,0.97346455904574,7.76835198357787,2.09407486144153,0.00020751967097392,0.0169563520672278
FBtr0006151,FBtr0006151_1048,-2.05392523204688,0.340338193050022,-9.49504738827624,1.64645959329791,-7.44112215622936,1.6812671643767,9.60405308445388e-06,0.000131597109398781,1.49233869005123,1.07619424683617,1.36257257451841,0.683970568382473,-0.129766115532824,1.27515089120336,0.918942967620278,0.97346455904574,7.31135604069654,2.11013484719531,0.000530475589349123,0.0302076217725452
FBtr0006151,FBtr0006151_1060,-1.45319636416286,0.428373179893996,-8.78044834066941,1.68511175396637,-7.32725197650655,1.73870791239015,2.50672058170358e-05,0.000310875838920764,1.49233869005123,1.07619424683617,1.36257257451841,0.683970568382473,-0.129766115532824,1.27515089120336,0.918942967620278,0.97346455904574,7.19748586097373,2.15618065104592,0.000843619421624931,0.0398252036397279
FBtr0070026,FBtr0070026_78,-0.0746770885142747,1.27670756497663,-1.0524071810169,3.133613959585,-0.977730092502628,3.38371373703133,0.772618281551778,0.918557605889909,-0.737298263128717,0.193589652421621,-0.623401780088841,0.179173893679744,0.113896483039876,0.263780662106008,0.665897820700279,0.87151938124206,1.0916265755425,3.39397980133583,0.747728358824148,0.989046839544071
FBtr0070028,FBtr0070028_236,-2.90925360929076,0.419069345554529,-2.69630520075008,0.428366335539798,0.212948408540681,0.599263576239451,0.722327280926216,0.899518133750007,0.0664225442423128,0.137401190490264,-0.315940619581855,0.119535871194817,-0.382363163824168,0.182120596447644,0.035772378038953,0.144186461684366,-0.595311572364849,0.626326388920139,0.341867709113803,0.877724723568006
FBtr0070028,FBtr0070028_388,-2.70694246531933,0.5417446835098,-0.995870129758122,0.652989107316668,1.71107233556121,0.848458647422108,0.0437285798741834,0.167111082315146,0.0664225442423128,0.137401190490264,-0.315940619581855,0.119535871194817,-0.382363163824168,0.182120596447644,0.035772378038953,0.144186461684366,-2.09343549938538,0.867784528575959,0.0158482797908404,0.248604363866349
FBtr0070028,FBtr0070028_394,-2.68348352250085,0.544794478986378,-1.48854867568855,0.713837180016214,1.1949348468123,0.897978030860187,0.183289399531775,0.450698511159629,0.0664225442423128,0.137401190490264,-0.315940619581855,0.119535871194817,-0.382363163824168,0.182120596447644,0.035772378038953,0.144186461684366,-1.57729801063647,0.916260037084443,0.0851687684514476,0.568246023108058
FBtr0070028,FBtr0070028_60,0.718857627270454,0.738366301809059,-4.37431680853192,1.6136713653319,-5.09317443580237,1.77457602568594,0.00410368489583904,0.0259073877332651,0.0664225442423128,0.137401190490264,-0.315940619581855,0.119535871194817,-0.382363163824168,0.182120596447644,0.035772378038953,0.144186461684366,4.7108112719782,1.78389685312514,0.00827246988724117,0.173930417293087
FBtr0070045,FBtr0070045_35,0.382170252736264,0.943585345432902,-1.0524071810169,3.133613959585,-1.43457743375317,3.27259679029081,0.661124916011958,0.868951142529099,2.20690021112873,0.228746007881815,1.48251898220068,0.232708436768896,-0.724381228928052,0.32630959634263,0.0264241924153947,0.11440580822689,0.710196204825114,3.28882466916176,0.829032761815119,0.992090077612663
FBtr0070066,FBtr0070066_100,-0.659642364538881,0.824549437929117,-1.63739825160865,1.09712674609624,-0.977755887069772,1.37243173695049,0.47620109473066,0.766480272214229,1.51153856191971,0.148706654584993,1.6739977759322,0.160579254613834,0.162459214012487,0.21885923816507,0.457905587613326,0.751344412744814,1.14021510108226,1.38977272916083,0.411969435976318,0.921072347466508
