sample3,sample2,gene,mean_PM_ratio,std_PM_ratio,rep_mean_PM_ratio,rep_std_PM_ratio,temp,line
25_D12,25_D12_rep1,bcd,2.502472059,0.072420265,2.427776125,0.221414199,25,D12
25_D12,25_D12_rep2,bcd,2.975117871,0.123301138,2.427776125,0.221414199,25,D12
25_D12,25_D12_rep3,bcd,1.592008524,0.01703421,2.427776125,0.221414199,25,D12
25_D12,25_D12_rep4,bcd,2.648523694,0.103338387,2.427776125,0.221414199,25,D12
25_D12,25_D12_rep5,bcd,2.881598343,0.081539836,2.427776125,0.221414199,25,D12
25_D12,25_D12_rep6,bcd,1.966936258,0.066929277,2.427776125,0.221414199,25,D12
25_D12,25_D12_rep1,rp49,1.000516231,0.017316939,1.000416175,5.96E-05,25,D12
25_D12,25_D12_rep2,rp49,1.000145089,0.011429637,1.000416175,5.96E-05,25,D12
25_D12,25_D12_rep3,rp49,1.000389754,0.011384233,1.000416175,5.96E-05,25,D12
25_D12,25_D12_rep4,rp49,1.000529843,0.015149797,1.000416175,5.96E-05,25,D12
25_D12,25_D12_rep5,rp49,1.000512209,0.019655152,1.000416175,5.96E-05,25,D12
25_D12,25_D12_rep6,rp49,1.000403925,0.0138891,1.000416175,5.96E-05,25,D12
25_D9,25_D9_rep1,bcd,2.039939802,0.001297051,2.463439496,0.116699251,25,D9
25_D9,25_D9_rep2,bcd,2.689189883,0.041702124,2.463439496,0.116699251,25,D9
25_D9,25_D9_rep3,bcd,2.188723114,0.031398298,2.463439496,0.116699251,25,D9
25_D9,25_D9_rep4,bcd,2.497584138,0.066355806,2.463439496,0.116699251,25,D9
25_D9,25_D9_rep5,bcd,2.735271684,0.017347528,2.463439496,0.116699251,25,D9
25_D9,25_D9_rep6,bcd,2.629928357,0.000539997,2.463439496,0.116699251,25,D9
25_D9,25_D9_rep1,rp49,1.001158597,0.011063438,1.001037314,0.000295808,25,D9
25_D9,25_D9_rep2,rp49,1.001391623,0.032717077,1.001037314,0.000295808,25,D9
25_D9,25_D9_rep3,rp49,1.002112402,0.042381685,1.001037314,0.000295808,25,D9
25_D9,25_D9_rep4,rp49,1.000389851,0.013000659,1.001037314,0.000295808,25,D9
25_D9,25_D9_rep5,rp49,1.001086661,0.00547322,1.001037314,0.000295808,25,D9
25_D9,25_D9_rep6,rp49,1.000084752,0.005190626,1.001037314,0.000295808,25,D9
25_w1118,25_w1118_rep1,bcd,1.693963545,0.03356319,1.937961837,0.186272028,25,w1118
25_w1118,25_w1118_rep2,bcd,2.523300708,0.017942204,1.937961837,0.186272028,25,w1118
25_w1118,25_w1118_rep3,bcd,1.599366598,0.008043016,1.937961837,0.186272028,25,w1118
25_w1118,25_w1118_rep4,bcd,1.718892006,0.030503135,1.937961837,0.186272028,25,w1118
25_w1118,25_w1118_rep5,bcd,2.521899672,0.036470666,1.937961837,0.186272028,25,w1118
25_w1118,25_w1118_rep6,bcd,1.570348491,0.004452445,1.937961837,0.186272028,25,w1118
25_w1118,25_w1118_rep1,rp49,1.002714159,0.052683784,1.003391878,0.001120744,25,w1118
